Date Median "Max value" Variation
1997-10-09 2.5 5 2.5
2000-01-18 1.0 3 1.0
2000-08-25 2.0 4 1.0
2005-11-15 2.0 4 2.0
2015-07-19 1.0 2 1.0
2019-02-01 1.5 5 1.5
2019-05-23 1.0 2 1.0
2019-07-18 1.0 2 1.0
2019-08-10 2.0 3 1.0
2020-04-28 2.0 3 1.0
2019-10-03 1.0 4 1.0
2019-10-09 2.0 4 1.0
2019-11-16 1.0 2 1.0
2019-11-17 1.0 3 1.0
2019-11-19 0.0 3 0.0
2019-11-26 2.0 3 2.0
2019-12-04 0.0 2 0.0
2019-12-15 1.0 2 1.0
2019-12-29 0.0 1 0.0
2020-01-03 1.0 3 1.0
2020-01-06 2.0 4 2.0
2019-06-22 2.0 3 2.0
2021-03-31 1.0 3 1.0
2020-12-29 2.0 3 1.0
2020-01-15 1.0 2 1.0
2020-02-12 1.0 3 1.0
2020-03-03 1.0 4 0.0
2020-03-31 2.0 4 2.0
2020-04-08 1.0 3 1.0
2020-04-18 1.0 2 1.0
2020-04-20 1.0 5 1.0
2020-04-25 1.0 3 1.0
2020-05-08 1.0 3 1.0
2020-07-15 2.0 4 2.0
2020-08-07 1.0 2 1.0
2020-09-13 1.0 3 1.0
2020-09-30 3.0 5 1.0
2020-11-16 0.0 2 0.0
2020-11-17 0.0 2 0.0
2020-12-19 1.0 2 1.0
2020-12-23 2.5 4 1.5
