ID	Fecha	Start time (UT)	Latitud	Longitud	v (km/s)	vx	vy	vz	Altitud (km)	Energia radiada (J)	Energia total (kT)
USG-01	1995-08-05	17:14:10	11.6	-104.3						20.0e10	0.56
USG-02	1996-07-12	14:04:45	20.7	-93.6						3.2e10	0.11
USG-03	1997-10-09	18:47:15	31.8	-106.0					37.0	19.0e10	0.53
USG-04	2000-01-18	08:33:58	24.3	-94.9						3.5e10	0.12
USG-05	2000-08-25	01:12:25	14.5	-106.1						138.5e10	3.1
USG-06	2005-11-15	05:19:07	26.3	-113.4					32.4	2.5e10	0.089
USG-07	2015-07-19	07:06:26	20.6	-87.6	17.8	9.4	13.0	7.8	22.0	2.3e10	0.082
USG-08	2019-02-01	18:17:10	22.5	-83.8	16.3	-2.4	13.6	8.7	23.7	57.9e10	1.4
USG-09	2019-06-22	21:25:48	14.9	-66.2	14.9	-13.4	6.0	2.5	25.0	294.7e10	6.0
USG-10	2020-04-28	05:43:17	20.1	-109.4						2.1e10	0.076
