Station,PRN,UT (hrs),UT 2 (hours),UT 3 (hours),Frequency (mHz),Frequency 2 (mHz),Frequency 3 (mHz),Wavelet amplitude,Wavelet amplitude 2,Wavelet amplitude 3,Outside COI,Outside COI 2,Outside COI 3,Detction azimuth,Detection altitude,IPP azimuth,IPP altitude,Propagation distance,Propagation velocity
AIRS,5,23.478,nan,nan,0.501,nan,nan,2.657,nan,nan,Yes,NA,NA,6.241,1.017,2.287,1.06,26604.085,12933.44
AIRS,6,21.387,nan,nan,0.83,nan,nan,6.607,nan,nan,No,NA,NA,nan,nan,2.287,1.06,nan,nan
AIRS,12,22.599,23.25,nan,0.426,0.6,nan,4.456,4.4,nan,No,No,NA,4.395,1.467,2.287,1.06,14444.552,12261.929
AIRS,15,22.209,nan,nan,1.189,nan,nan,1.896,nan,nan,Yes,NA,NA,3.648,1.771,2.287,1.06,10331.023,13110.435
AIRS,17,22.477,nan,nan,0.461,nan,nan,0.59,nan,nan,Yes,NA,NA,2.567,1.501,2.287,1.06,3514.574,3328.195
AIRS,19,22.818,nan,nan,0.356,nan,nan,1.72,nan,nan,limb,NA,NA,2.618,1.305,2.287,1.06,2770.646,1983.282
AIRS,25,23.25,23.292,nan,1.2,0.853,nan,3.288,3.288,nan,No,No,NA,4.707,1.84,2.287,1.06,17106.593,9352.976
AIRS,29,23.108,nan,nan,2.005,nan,nan,0.529,nan,nan,No,NA,NA,5.617,1.588,2.287,1.06,22684.122,13446.427
CN00,5,23.503,nan,nan,0.71,nan,nan,1.335,nan,nan,limb,NA,NA,6.248,0.998,2.541,1.132,24956.985,11987.025
CN00,6,23.007,nan,nan,0.515,nan,nan,1.194,nan,nan,No,NA,NA,1.51,1.252,2.541,1.132,6983.395,4403.149
CN00,12,22.928,nan,nan,0.502,nan,nan,3.423,nan,nan,limb,NA,NA,4.229,1.563,2.541,1.132,11721.221,7777.85
CN00,15,22.666,nan,nan,1.199,nan,nan,0.361,nan,nan,limb,NA,NA,3.682,1.555,2.541,1.132,8187.205,6576.068
CN00,17,22.687,nan,nan,0.991,nan,nan,1.65,nan,nan,Yes,NA,NA,2.613,1.632,2.541,1.132,3398.699,2684.596
CN00,19,22.903,nan,nan,0.424,nan,nan,1.487,nan,nan,Yes,NA,NA,2.649,1.368,2.541,1.132,1746.172,1178.254
CN00,25,22.875,23.357,nan,0.7,1.407,nan,1.2,1.313,nan,No,Yes,NA,4.873,1.815,2.541,1.132,16348.781,11244.004
CN00,29,22.85,23.074,nan,1.7,0.846,nan,0.6,0.675,nan,No,No,NA,5.644,1.704,2.541,1.132,21228.725,14855.651
GERD,2,21.97,23.25,nan,0.711,0.5,nan,2.467,2.1,nan,No,limb,NA,6.125,1.074,2.303,1.064,25714.504,46838.805
GERD,5,23.472,nan,nan,0.504,nan,nan,2.569,nan,nan,Yes,NA,NA,6.239,1.015,2.303,1.064,26483.46,12912.462
GERD,6,22.874,nan,nan,0.503,nan,nan,1.816,nan,nan,No,NA,NA,1.145,1.242,2.303,1.064,7882.529,5425.003
GERD,12,23.151,nan,nan,0.597,nan,nan,5.583,nan,nan,No,NA,NA,4.131,1.601,2.303,1.064,12818.479,7409.525
GERD,15,22.201,nan,nan,1.2,nan,nan,1.814,nan,nan,limb,NA,NA,3.648,1.776,2.303,1.064,10238.878,13126.766
GERD,17,22.626,nan,nan,0.431,nan,nan,1.433,nan,nan,Yes,NA,NA,2.594,1.586,2.303,1.064,4020.874,3336.825
GERD,19,22.889,nan,nan,0.357,nan,nan,2.332,nan,nan,limb,NA,NA,2.633,1.347,2.303,1.064,2924.854,1992.408
GERD,29,23.091,nan,nan,2.011,nan,nan,0.411,nan,nan,limb,NA,NA,5.619,1.596,2.303,1.064,22595.345,13530.147
NWBL,2,22,23.228,nan,0.7,0.503,nan,2,2.023,nan,No,limb,NA,6.141,1.066,2.306,1.068,25801.884,44562.839
NWBL,5,23.478,nan,nan,0.506,nan,nan,2.629,nan,nan,Yes,NA,NA,6.421,1.015,2.306,1.068,27688.016,13460.387
NWBL,6,21.303,22.9,nan,0.607,0.4,nan,1.326,1.1,nan,No,No,NA,0.467,1.134,2.306,1.068,12380.758,-104921.675
NWBL,12,22.68,23,nan,0.427,0.7,nan,3.398,3.39,nan,No,No,NA,4.352,1.486,2.306,1.068,14049.83,11159.515
NWBL,15,22.778,nan,nan,1.198,nan,nan,0.271,nan,nan,No,NA,NA,3.696,1.472,2.306,1.068,9738.919,7176.801
NWBL,17,22.549,nan,nan,0.44,nan,nan,1.079,nan,nan,Yes,NA,NA,2.581,1.543,2.306,1.068,3692.747,3273.712
NWBL,19,22.916,nan,nan,0.357,nan,nan,2.516,nan,nan,limb,NA,NA,2.638,1.361,2.306,1.068,2979.167,1992.754
NWBL,25,23.274,nan,nan,1.009,nan,nan,5.284,nan,nan,limb,NA,NA,4.696,1.843,2.306,1.068,16904.192,9122.608
NWBL,29,23.1,23.209,nan,0.8,1.424,nan,1,1.018,nan,No,No,NA,5.617,1.59,2.306,1.068,22551.554,13431.539
OLVN,2,21.926,23.25,nan,0.658,0.5,nan,2.398,2.3,nan,No,limb,NA,6.105,1.086,2.285,1.064,25674.646,50840.883
OLVN,5,23.461,nan,nan,0.502,nan,nan,2.63,nan,nan,Yes,NA,NA,6.231,1.014,2.285,1.064,26523.195,13001.566
OLVN,6,21.297,22.9,nan,0.608,0.49,nan,1.425,1.3,nan,No,No,NA,0.463,1.136,2.285,1.064,12255.22,-98832.417
OLVN,12,22.5,23.189,nan,0.4,0.6,nan,4.749,4.5,nan,No,No,NA,4.445,1.446,2.285,1.064,14742.639,13663.243
OLVN,15,22.349,nan,nan,1.198,nan,nan,0.845,nan,nan,limb,NA,NA,3.654,1.7,2.285,1.064,10145.498,10932.649
OLVN,17,22.403,nan,nan,0.461,nan,nan,0.412,nan,nan,Yes,NA,NA,2.552,1.459,2.285,1.064,3204.402,3263.138
OLVN,19,22.832,nan,nan,0.356,nan,nan,1.21,nan,nan,Yes,NA,NA,2.621,1.313,2.285,1.064,2810.768,1992.04
OLVN,29,22.732,23.1,23.3,1.417,0.8,1.417,1.139,1.1,1,No,No,No,5.659,1.775,2.285,1.064,23174.683,17677.104
RCHY,2,21.867,23.25,nan,0.644,0.5,nan,2.487,2,nan,No,limb,NA,6.074,1.101,2.289,1.047,25441.574,57043.888
RCHY,5,23.451,nan,nan,0.501,nan,nan,2.616,nan,nan,Yes,NA,NA,6.225,1.013,2.289,1.047,26454.843,13031.942
RCHY,6,21.239,22.9,nan,0.6,0.4,nan,1.283,1.1,nan,No,No,NA,0.428,1.135,2.289,1.047,12521.757,-68800.862
RCHY,12,22.759,nan,nan,0.848,nan,nan,1.647,nan,nan,limb,NA,NA,4.315,1.504,2.289,1.047,13958.863,10432.633
RCHY,15,22.837,nan,nan,1.425,nan,nan,0.181,nan,nan,No,NA,NA,3.705,1.438,2.289,1.047,9873.094,6972.524
RCHY,17,22.493,nan,nan,0.458,nan,nan,0.838,nan,nan,Yes,NA,NA,2.571,1.509,2.289,1.047,3637.843,3393.511
RCHY,19,22.937,nan,nan,0.357,nan,nan,2.251,nan,nan,limb,NA,NA,2.642,1.37,2.289,1.047,3215.828,2121.259
RCHY,29,22.745,23.1,23.2,1.434,0.8,1.434,0.779,0.6,0.779,limb,No,No,5.659,1.771,2.289,1.047,23166.572,17497.411
RDON,2,22,23.241,nan,0.7,0.504,nan,1.8,2.1,nan,No,limb,NA,6.143,1.062,2.301,1.101,25823.412,44600.021
