UT "Height (km)" "Longitude (deg)" "Latitude (deg)"
21.417295471841705 400 -59.51250947129166 14.464243396938425
21.41898611111111 350 -60.52480787335812 14.530204718464862
21.42067675038052 300 -61.53804388808514 14.596227134793036
21.422367389649924 250 -62.551833693369105 14.66228563609073
21.42405802891933 200 -63.56578792083244 14.728354851130753
21.425748668188735 150 -64.57951083232274 14.79440899363165
21.427439307458144 100 -65.59260087384867 14.860421898352147
21.428115563165907 80 -65.99758014264428 14.886810330563478
21.428472222222222 70 -65.2565623980995 14.8385256453314
21.428791666666665 60 -65.47931624726466 14.853040276823497
21.429111111111112 50 -65.70187469806483 14.867542176166308
21.429444444444446 40 -65.91881026552984 14.88167768866625
21.429805555555554 30 -66.11434804548556 14.894418922227317
21.43 25 -66.2 14.9
