ID	Fecha	Got RINEX	Got Kp index	Got GLM data	T_0 (GLM-16)	T_0 (GLM-17)	dt (GLM-16)	dt (GLM-17)	dt	s_dt	Latitud (GLM-16)	Latitud (GLM-17)	Longitud (GLM-16)	Longitud (GLM-17)	Latitud	Longitud	sig_latitude	sig_lon	f(lat, long, long_GLM16)	f(lat, long, long_GLM17)	GLM-16 energy (J)	GLM-17-energy (J)	Height (km)	R^2_GLM16	R^2_GLM17	Radiated Energy GLM-16 (J)	Radiated Energy GLM-17 (J)	Luminous Efficiency (GLM-16)	Total energy GLM-16 (kT)	Total energy recallibrated (kT)
GLM-00	2019-02-01	**		**	18:17:09.375	18:17:09.347	2.304	2.998	2.651	0.4907	22.4	22.5	-83.8	-83.2	22.45	-83.50	0.071	0.424	0.99997329	0.99984123	2.429878301895814e-10	2.183467721035116e-09	24	1.28e9	1.28e9	4.19e11	1.3478262e17	0.093016984 +/- 0.016390791	1.0763569 +/- 0.18966796	2.0978196 +/- 0.42361329
GLM-01	2019-05-23	**	**	**	16:36:18.147	16:36:18.155	0.197	0.197	0.197	0.0000	24.3	24.3	-102.2	-101.0	24.30	-101.60	0.000	0.849	0.99993878	0.99991181	7.080500719563272e-13	4.150638352847435e-13	28	1.28e9	1.28e9	1.22e9	2.5621350e13	0.047526849 +/- 0.029065558	6.1337398e-3 +/- 3.7511548e-3	0.011954659 +/- 7.4054404e-3
GLM-02	2019-07-18	**	**	**	14:30:30.131	14:30:30.131	0.058	0.058	0.058	0.0000	27.2	27.2	-103.7	-102.6	27.20	-103.15	0.000	0.778	0.99992799	0.99991013	3.1129787646355764e-13	3.0977190648089314e-13	72	1.28e9	1.28e9	5.37e8	1.9121816e13	0.043246870 +/- 0.029105673	2.9670451e-3 +/- 1.9968577e-3	5.7827709e-3 +/- 3.9334336e-3
GLM-03	2019-08-10	**	**	**	11:18:48.726	11:18:48.632	0.145	0.252	0.199	0.0757	21.5	21.5	-103.1	-101.9	21.50	-102.50	0.000	0.849	0.99994244	0.99992074	6.210697829444508e-13	1.0712309278304778e-12	92	1.27e9	1.27e9	1.06e9	6.5609083e13	0.046764664 +/- 0.029091689	5.4161737e-3 +/- 3.3693312e-3	0.010556123 +/- 6.6488245e-3
GLM-04	2019-10-03	**	**	**	07:55:33.551	07:55:33.550	0.085	0.127	0.106	0.0297	25.6	25.7	-96.8	-95.7	25.65	-96.25	0.071	0.778	0.99994795	0.99988945	1.479303483161672e-13	2.770259572442234e-13	74	1.28e9	1.28e9	2.55e8	1.7100452e13	0.039697190 +/- 0.028931137	1.5349172e-3 +/- 1.1186409e-3	2.9915536e-3 +/- 2.2000998e-3
GLM-05	2019-10-09	**	**	**	06:08:11.205	06:08:11.206	0.108	0.097	0.103	0.0078	23.6	23.6	-112.1	-111.8	23.60	-111.95	0.000	0.212	0.99991099	0.99994423	1.3955176168359046e-12	8.595560315017904e-13	32	1.28e9	1.28e9	2.41e9	5.3059274e13	0.051397217 +/- 0.028813097	0.011204229 +/- 6.2810509e-3	0.021837042 +/- 0.012429732
GLM-06	2019-11-16	**	**	**	10:14:13.554	10:14:13.656	0.102	0.103	0.103	0.0007	29.2	29.2	-103.3	-102.0	29.20	-102.65	0.000	0.919	0.99992381	0.99990296	4.232787697851629e-13	3.9114560059171877e-13	82	1.27e9	1.27e9	7.25e8	2.3956276e13	0.044765817 +/- 0.029121578	3.8698669e-3 +/- 2.5174707e-3	7.5423706e-3 +/- 4.9626060e-3
GLM-07	2019-11-17	**	**	**	15:36:01.594	15:36:01.584	0.113	0.118	0.116	0.0035	31.7	31.7	-118.5	-116.9	31.70	-117.70	0.000	1.131	0.99986640	0.99993426	1.449666669545249e-12	5.117496236627764e-13	88	1.27e9	1.27e9	2.48e9	3.1342844e13	0.051566729 +/- 0.028797614	0.011491762 +/- 6.4176135e-3	0.022397444 +/- 0.012701445
GLM-08	2019-11-19	**	**	**	07:57:40.100	07:57:40.118	0.177	0.016	0.097	0.1138	20.0	20.0	-89.2	-87.6	20.00	-88.40	0.000	1.131	0.99997235	0.99986730	6.833250825127828e-14	4.4376146917849163e-14	99	1.27e9	1.27e9	1.17e8	2.7178811e12	0.036295185 +/- 0.028570234	7.7026716e-4 +/- 6.0632597e-4	1.5012507e-3 +/- 1.1909667e-3
GLM-09	2019-11-26	**	**	**	13:23:20.453	13:23:20.437	0.098	0.057	0.078	0.0290	23.9	23.9	-109.3	-108.1	23.90	-108.70	0.000	0.849	0.99991955	0.99993421	2.634275895650217e-13	8.954477775527033e-14	81	1.27e9	1.27e9	4.51e8	5.4842991e12	0.042387514 +/- 0.029081403	2.5423956e-3 +/- 1.7442974e-3	4.9551290e-3 +/- 3.4345742e-3
