Station,LT_Latitude,LT_Longitude,PT_Latitude,PT_Longitude,UT_Latitude,UT_Longitude,PRN,Lower time,Upper time,Peak time
CN19,16.52,-71.15,15.45,-68.8,13.33,-67.57,2,21.5,24,22.75
CN19,16.82,-68.38,14.85,-64.87,9.78,-61.97,6,21,24,22.5
CN19,21.23,-61.18,24.12,-59.28,26.93,-57.26,9,22,22.44,22.25
CN19,14,-73.96,10.77,-74.21,5.88,-74.33,12,21.5,24,22.75
CN19,-2.1,-77.49,5.88,-73.11,9.35,-71.76,15,21.5,23,22.25
CN19,7.35,-65.56,2.98,-63.47,-2.95,-60.37,17,22.5,23.37,23
CN19,12.37,-67.85,10.71,-67.48,8.14,-66.67,19,21.5,23,22.25
CN19,18.08,-79.12,13.44,-78.67,8.84,-79.8,25,22,24,23
CN19,2.67,-66.66,1.49,-66.12,0.17,-65.47,28,21.2,21.4,21.3
CN19,23.71,-78.35,17.6,-73.82,14.91,-72.6,29,22.5,24,23.25
CN40,15.01,-69.5,15.79,-68.64,16.38,-67.49,5,23,24,23.5
CN40,16.41,-67.36,15.43,-64.95,13.08,-63.14,6,21,23,22
CN40,12.37,-73.03,10.36,-73.28,7.72,286.47,12,22,23.5,22.75
CN40,-2.54,-76.58,6.95,-71.5,10.29,-70.39,15,21.5,23.5,22.5
CN40,15.08,-77.91,13.11,-78.03,10.9,-78.54,25,22.55,23.5,23
CN40,23.85,-77.69,18.91,-73.86,16.21,-72.28,29,22.5,23.5,23
TTSF,14.53,-66.06,14.39,-62.04,11.93,-60.04,2,20.5,23.5,22
TTSF,8.46,-64.6,11.66,-63.63,14.15,-61.61,5,20.5,23.5,22
TTSF,14.64,-61.54,13.73,-58.76,11.07,-57.12,6,20.5,23,21.75
TTSF,17.57,-54.61,20.01,-53.01,23.31,-50.59,9,22,22.5,22.25
TTSF,17.26,-68.76,10.77,-66.9,5.44,-67.46,12,20.5,23.5,22
TTSF,-3.15,-66.45,3.35,-62.9,6.71,-61.84,13,20.5,22,21.25
TTSF,-5.48,-70.86,1.22,-66.78,4.96,-64.88,15,21.5,22.5,22
TTSF,18.81,-75.45,12,-74.67,5.62,-75.92,25,22,24,23
TTSF,0.34,-58.71,-3.03,-56.82,-6.18,-54.6,28,21.4,22,21.7
TTSF,24.73,-72.33,16.91,-66.79,13.25,-65.05,29,22.5,24,23.25
TTUW,14.84,-65.97,14.69,-61.98,12.26,-59.98,2,20.5,23.5,22
TTUW,10,-64.2,12.46,296.64,14.46,-61.55,5,21,23.5,22.25
TTUW,14.94,-61.48,14.04,301.29,11.04,-57.07,6,20.5,23,21.75
TTUW,17.54,-68.64,11.11,-66.85,5.72,-67.47,12,20.5,23.5,22
TTUW,-3.1,-66.51,1.82,-63.64,5.01,-62.35,13,20.5,21.5,21
TTUW,-5.06,-70.72,3.62,-65.64,7.39,-63.96,15,21.5,23,22.25
TTUW,15.28,-74.47,12.33,-74.63,9.3,284.7,25,22.5,23.5,23
TTUW,21.34,-69.41,18.37,-67.41,15.63,-65.85,29,22.8,23.5,23.1
