Site,Latitude,Longitude,Sunrise,Sunset
BAR1,33.48,-119.03,,
BLYT,33.61,-114.71,,
CN23,17.26,-88.78,,
CN25,16.23,-92.13,,
GCFS,19.31,-81.18,,
GMPK,33.05,-114.83,,
GUAT,14.59,-90.52,,
GUAX,28.88,-118.29,,
IAGX,29.03,-113.17,,
INEG,21.85,-102.28,,
KVTX,27.55,-97.89,,
MDO1,30.68,-104.02,,
MGO5,30.68,-104.02,,
MGW3,29.62,-89.95,,
OXTH,16.29,-95.24,,
OXUM,15.66,-96.5,,
P001,31.95,-112.8,,
P014,31.97,-111.1,,
P807,30.49,-98.82,,
PLPX,31.59,-115.15,,
PTEX,32.29,-116.52,,
RG06,32.63,-107.86,,
RG07,32.5,-106.84,,
SG33,31.77,-106.51,,
TGMX,20.87,-86.87,,
TNAM,20.54,-103.97,,
TNAT,18.13,-98.04,,
TNBA,28.97,-113.55,,
TNCC,18.79,-103.17,,
TNCM,19.5,-105.04,,
TNCN,18.55,-101.97,,
TNCU,28.45,-106.79,,
TNGF,19.33,-99.18,,
TNHM,29.08,-110.97,,
TNMS,20.53,-104.8,,
TNNP,16.12,-97.14,,
TNNX,17.41,-97.22,,
UAGU,21.92,-102.31,,
TNPP,31.34,-113.63,,
TNSJ,16.16,-96.49,,
TSFX,30.93,-114.81,,
UAGU,21.92,-102.32,,
UCOE,19.81,-101.69,,
UGEO,20.69,-103.35,,
UHSL,29.57,-95.65,,
UHWL,30.06,-94.98,,
UNPM,20.86,-86.86,,
USMX,29.82,-109.68,,
UXAL,19.52,-96.92,,
WEPD,29.69,-95.23,,
WMOK,34.74,-98.78,,
WWMT,33.96,-116.65,,
YESX,28.38,-108.92,,
BARA,18.21,-71.09,10.22,23.43
CN05,18.56,-68.35,9.97,23.22
CN27,19.67,-69.93,10.03,23.35
CRLR,18.41,-68.93,10.02,23.25
CRSE,18.76,-69.04,10.00,23.27
JME2,18.23,-72.54,10.25,23.48
LVEG,19.22,-70.53,10.08,23.38
RDAZ,18.45,-70.72,10.13,23.37
RDF2,19.45,-70.68,10.10,23.40
RDHI,18.6,-68.72,9.98,23.23
RDLT,19.31,-69.55,10.02,23.32
RDMA,19.54,-71.08,10.12,23.43
RDMC,19.85,-71.64,10.15,23.48
RDMS,18.98,-69.04,10.00,23.27
RDNE,18.5,-71.42,10.17,23.42
RDSD,18.46,-69.91,10.07,23.32
RDSF,19.29,-70.25,10.07,23.37
RDSJ,18.82,-71.23,10.15,23.42
SPED,18.46,-69.31,10.03,23.27
SROD,19.48,-71.34,10.13,23.45
TGDR,18.21,-71.1,10.17,23.38
AIRS,16.74,-62.21,9.62,22.75
CN00,17.67,-61.79,9.57,22.75
GERD,16.8,-62.19,9.62,22.75
NWBL,16.82,-62.2,9.62,22.75
OLVN,16.75,-62.23,9.62,22.75
RCHY,16.7,-62.15,9.62,22.73
RDON,16.93,-62.35,9.62,22.77
TRNT,16.76,-62.16,9.62,22.75
CN04,14.02,-60.97,9.62,22.58
GRE1,12.22,-61.64,9.72,22.57
CN19,12.61,-70.04,10.27,23.13
CN40,12.18,-68.96,10.22,23.05
TTSF,10.28,-61.47,9.77,23.50
TTUW,10.64,-61.4,9.75,23.50
BOAV,2.85,-60.7,9.93,22.22
KOUG,5.1,-52.64,9.33,21.75
KOUR,5.25,-52.81,9.33,21.77
