Site	Latitude	Longitude
BAR1	33.48	-119.03
BLYT	33.61	-114.71
CN23	17.26	-88.78
CN25	16.23	-92.13
GCFS	19.31	-81.18
GMPK	33.05	-114.83
GUAT	14.59	-90.52
GUAX	28.88	-118.29
IAGX	29.03	-113.17
INEG	21.85	-102.28
KVTX	27.55	-97.89
MDO1	30.68	-104.02
MGO5	30.68	-104.02
MGW3	29.62	-89.95
OXTH	16.29	-95.24
OXUM	15.66	-96.50
P001	31.95	-112.80
P014	31.97	-111.10
P807	30.49	-98.82
PLPX	31.59	-115.15
PTEX	32.29	-116.52
RG06	32.63	-107.86
RG07	32.50	-106.84
SG33	31.77	-106.51
TGMX	20.87	-86.87
TNAM	20.54	-103.97
TNAT	18.13	-98.04
TNBA	28.97	-113.55
TNCC	18.79	-103.17
TNCM	19.50	-105.04
TNCN	18.55	-101.97
TNCU	28.45	-106.79
TNGF	19.33	-99.18
TNHM	29.08	-110.97
TNMS	20.53	-104.80
TNNP	16.12	-97.14
TNNX	17.41	-97.22
UAGU	21.92	-102.31
TNPP	31.34	-113.63
TNSJ	16.16	-96.49
TSFX	30.93	-114.81
UAGU	21.92	-102.32
UCOE	19.81	-101.69
UGEO	20.69	-103.35
UHSL	29.57	-95.65
UHWL	30.06	-94.98
UNPM	20.86	-86.86
USMX	29.82	-109.68
UXAL	19.52	-96.92
WEPD	29.69	-95.23
WMOK	34.74	-98.78
WWMT	33.96	-116.65
YESX	28.38	-108.92
